First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG,Total
Alexander,Wennberg,CBJ,CBJ,,C,68,4,16,9,20,-19,85,22,37,0,0,0,58,45,3,4,0,916
Blake,Wheeler,WPG,WPG,,RW,79,26,35,24,61,26,244,101,71,4,1,5,128,54,4,12,6,2717
Ryan,White,PHI,PHI,,C/RW,34,6,6,4,12,4,45,13,13,0,1,1,108,14,,0,1,674
Joe,Whitney,NJD,NJD,,LW/RW,4,1,0,0,1,-1,1,0,1,0,0,0,5,0,,0,0,37
Dennis,Wideman,CGY,CGY,,D,80,15,41,15,56,6,173,78,162,0,0,0,94,184,,21,2,2552
Patrick,Wiercioch,OTT,OTT,,D,56,3,10,4,13,3,79,38,64,0,0,0,50,44,,5,2,761
Justin,Williams,LAK,LAK,,RW,81,18,23,10,41,8,174,66,67,0,0,0,29,24,0,13,2,1649
Colin,Wilson,NSH,NSH,,C,77,20,22,17,42,19,172,49,63,0,0,0,52,33,,7,5,1734
Garrett,Wilson,FLA,FLA,,LW,2,0,0,0,0,-2,5,1,2,0,0,0,5,1,,0,0,22
Ryan,Wilson,COL,COL,,D,3,0,0,0,0,-3,3,2,3,0,0,0,6,3,,0,0,24
Scott,Wilson,PIT,PIT,,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tom,Wilson,WSH,WSH,,RW,67,4,13,7,17,-1,79,33,38,0,0,0,205,24,0,0,0,1041
Tommy,Wingels,SJS,SJS,,C/RW,75,15,21,14,36,-7,158,64,41,1,0,1,263,55,1,10,1,1992
Daniel,Winnik,PIT,"TOR, PIT",58,C/LW,79,9,25,18,34,23,97,43,33,0,1,1,124,69,,0,1,1470
James,Wisniewski,ANA,"CBJ, ANA",56,D,69,8,26,13,34,-13,147,54,109,0,0,0,115,81,,15,2,1726
Luke,Witkowski,TBL,TBL,,D,16,0,0,0,0,0,10,6,12,0,0,0,37,20,,0,0,134
David,Wolf,CGY,CGY,,LW,3,0,0,0,0,0,1,2,1,0,0,0,6,0,,0,0,14
Brendan,Woods,CAR,CAR,,LW,2,0,0,0,0,-1,3,0,1,0,0,0,2,0,,0,0,10
Tyler,Wotherspoon,CGY,CGY,,D,1,0,0,0,0,-3,1,0,2,0,0,0,0,2,,0,0,6
Bogdan,Yakimov,EDM,EDM,,C,1,0,0,0,0,-1,1,0,0,0,0,0,2,0,,0,0,6
Nail,Yakupov,EDM,EDM,,RW,81,14,19,12,33,-35,191,66,80,0,0,0,97,28,1,10,1,1577
Keith,Yandle,NYR,"ARI, NYR",63,D,84,6,46,16,52,-26,232,120,152,0,0,0,53,101,,29,2,2402
Nikita,Zadorov,BUF,BUF,,D,60,3,12,6,15,-10,52,24,28,0,0,0,134,73,,5,1,963
Travis,Zajac,NJD,NJD,,C,74,11,14,9,25,-3,112,36,54,2,0,2,70,35,0,7,0,1169
Henrik,Zetterberg,DET,DET,,LW/C,77,17,49,30,66,-6,227,90,102,0,0,0,55,26,0,28,3,2606
Mika,Zibanejad,OTT,OTT,,C,80,20,26,16,46,0,150,72,71,0,0,0,149,26,5,14,0,1940
Marek,Zidlicky,DET,"NJD, DET",63,D,84,7,27,12,34,-9,130,59,100,0,0,0,95,92,0,20,1,1704
Harry,Zolnierczyk,NYI,NYI,,LW,2,0,0,0,0,-1,1,0,2,0,0,0,6,1,,0,0,16
Dainius,Zubrus,NJD,NJD,,LW/C,74,4,6,4,10,-9,72,20,13,0,1,1,99,41,,1,1,724
Mats,Zuccarello,NYR,NYR,,RW/LW/C,78,15,34,21,49,17,154,62,73,0,0,0,120,42,3,6,3,1977
Jason,Zucker,MIN,MIN,,LW,51,21,5,5,26,-9,124,46,23,1,0,1,67,13,,1,3,1148
