First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG,Total
Eric,Nystrom,NSH,NSH,,LW,60,7,5,2,12,0,60,21,16,1,0,1,104,29,,0,1,726
Liam,O'Brien,WSH,WSH,,C,13,1,1,1,2,4,16,3,3,0,0,0,35,0,,0,0,152
Shane,O'Brien,FLA,FLA,,D,9,0,1,1,1,-4,4,0,1,0,0,0,36,12,,0,0,129
Eric,O'Dell,WPG,WPG,,C,11,0,1,1,1,0,6,5,4,0,0,0,14,0,,0,0,65
Ryan,O'Reilly,COL,COL,,C/LW,82,17,38,25,55,-5,171,49,53,1,1,2,38,48,3,12,1,2069
Johnny,Oduya,CHI,CHI,,D,76,2,8,5,10,5,76,34,89,0,0,0,69,123,,0,0,786
Jordan,Oesterle,EDM,EDM,,D,6,0,1,1,1,-4,7,4,5,0,0,0,2,3,,0,0,49
Kyle,Okposo,NYI,NYI,,RW,60,18,33,19,51,-8,195,79,75,0,0,0,53,23,5,18,2,2037
Jamie,Oleksiak,DAL,DAL,,D,36,1,7,2,8,0,36,11,14,0,0,0,82,46,,0,0,528
Steve,Oleksy,WSH,WSH,,D,1,0,0,0,0,-1,1,0,1,0,0,0,2,0,,0,0,6
Dylan,Olsen,FLA,FLA,,D,44,2,6,2,8,-7,44,16,31,0,0,0,77,52,1,1,0,556
Brooks,Orpik,WSH,WSH,,D,78,0,19,7,19,5,66,24,78,0,0,0,306,192,1,0,0,1603
Colton,Orr,TOR,TOR,,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
T.J.,Oshie,STL,STL,,RW/C,72,19,36,23,55,17,162,69,58,0,0,0,99,39,4,13,4,2185
Steve,Ott,STL,STL,,C,78,3,9,4,12,-8,49,24,32,0,0,0,184,14,,0,0,794
Xavier,Ouellet,DET,DET,,D,21,2,1,1,3,4,27,16,23,0,0,0,11,13,,0,0,177
Alex,Ovechkin,WSH,WSH,,LW,81,53,28,21,81,10,395,200,228,0,0,0,259,32,2,34,11,3957
Magnus,Paajarvi,STL,STL,,LW,10,0,1,0,1,-2,9,5,2,0,0,0,8,0,,1,0,69
Max,Pacioretty,MTL,MTL,,LW,80,37,30,17,67,38,302,108,151,3,2,5,106,38,2,11,10,2977
Jean-Gabriel,Pageau,OTT,OTT,,C,50,10,9,4,19,4,97,27,23,2,0,2,158,20,,0,2,1105
Daniel,Paille,BOS,BOS,,LW,71,6,7,6,13,-9,66,36,15,1,1,2,77,34,,0,1,739
Iiro,Pakarinen,EDM,EDM,,RW,17,1,2,0,3,-4,34,4,15,0,0,0,51,3,0,2,0,271
Ondrej,Palat,TBL,TBL,,LW,75,16,47,25,63,31,139,62,66,1,1,2,124,50,0,11,5,2451
Michael,Paliotta,CHI,CHI,,D,1,0,1,0,1,0,2,1,0,0,0,0,0,2,,0,0,33
Kyle,Palmieri,ANA,ANA,,RW/C,57,14,15,7,29,-2,112,60,42,0,0,0,97,24,0,11,4,1381
Richard,Panik,TOR,TOR,,RW,76,11,6,4,17,-8,87,32,33,0,0,0,101,57,,2,1,955
Cedric,Paquette,TBL,TBL,,C,64,12,7,4,19,4,91,38,24,2,0,2,127,58,,0,3,1127
Adam,Pardy,WPG,WPG,,D,55,0,9,5,9,9,29,12,38,0,1,1,74,59,,0,0,569
Pierre-Alexandre,Parenteau,MTL,MTL,,RW,56,8,14,9,22,0,97,35,45,0,0,0,32,19,4,4,1,906
Zach,Parise,MIN,MIN,,LW,74,33,29,15,62,21,259,81,66,0,0,0,86,56,2,16,3,2572
David,Pastrnak,BOS,BOS,,RW,46,10,17,8,27,12,93,42,40,0,0,0,20,11,0,3,3,1013
Greg,Pateryn,MTL,MTL,,D,17,0,0,0,0,0,10,3,8,0,0,0,48,18,,0,0,152
Joe,Pavelski,SJS,SJS,,C,82,37,33,22,70,12,261,97,81,0,0,0,97,86,2,31,5,3048
Tanner,Pearson,LAK,LAK,,LW,42,12,4,2,16,14,68,38,25,0,0,0,46,9,,1,3,716
