First Name,Last Name,End Team,Teams,OGP,Pos,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,SHG,SHA,SHP,HitF,BkS,SOG,PPP,GWG
Grant,Clitsome,WPG,WPG,,D,24,0,4,3,4,4,22,7,27,0,0,0,46,20,,20,0
Ryane,Clowe,NJD,NJD,,LW,13,1,3,2,4,-1,15,3,8,0,0,0,21,1,,1,0
Rich,Clune,NSH,NSH,,LW,1,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0
Cal,Clutterbuck,NYI,NYI,,RW,76,7,9,8,16,1,124,52,43,2,1,3,343,31,1,32,4
Braydon,Coburn,TBL,"PHI, TBL",39,D,43,1,10,4,11,2,46,28,43,0,0,0,62,66,,66,0
Andrew,Cogliano,ANA,ANA,,LW/C,82,15,14,12,29,5,134,58,52,3,0,3,139,30,,30,2
Carlo,Colaiacovo,PHI,PHI,,D,33,2,6,4,8,0,42,30,36,0,0,0,46,33,,33,0
Joe,Colborne,CGY,CGY,,C,64,8,20,12,28,7,67,30,31,1,0,1,158,35,1,36,1
Erik,Cole,DET,"DAL, DET",57,LW,68,21,18,14,39,2,122,40,51,1,0,1,134,20,0,20,0
Ian,Cole,PIT,"STL, PIT",54,D,74,5,12,4,17,14,83,44,58,0,0,0,73,99,,99,0
Sean,Collins,CBJ,CBJ,,C,8,0,2,0,2,0,4,1,2,0,0,0,18,0,,0,0
Blake,Comeau,PIT,PIT,,LW,61,16,15,10,31,6,147,45,77,0,0,0,188,11,,11,5
Cory,Conacher,NYI,NYI,,C/LW,15,1,2,0,3,-3,23,6,3,0,0,0,19,7,,7,0
Erik,Condra,OTT,OTT,,RW,68,9,14,9,23,13,106,35,52,1,1,2,33,53,,53,1
Kevin,Connauton,CBJ,"DAL, CBJ",8,D,62,9,12,7,21,5,96,38,65,0,0,0,83,48,0,48,4
Chris,Conner,WSH,WSH,,RW,2,0,0,0,0,1,3,2,2,0,0,0,0,0,,0,0
Brett,Connolly,BOS,"TBL, BOS",50,RW,55,12,5,2,17,3,83,28,32,0,0,0,90,13,,13,2
Matt,Cooke,MIN,MIN,,LW,29,4,6,3,10,0,24,7,17,0,0,0,39,22,,22,0
Andrew,Copp,WPG,WPG,,C,1,0,1,1,1,2,4,0,0,0,0,0,0,0,,0,0
Patrice,Cormier,WPG,WPG,,C,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0
Frank,Corrado,VAN,VAN,,D,10,1,0,0,1,-7,8,5,3,0,0,0,15,12,,12,0
Nick,Cousins,PHI,PHI,,C,11,0,0,0,0,1,6,1,2,0,0,0,13,5,1,6,0
Logan,Couture,SJS,SJS,,C,82,27,40,23,67,-6,263,117,118,2,0,2,85,71,3,74,4
Sean,Couturier,PHI,PHI,,C,82,15,22,13,37,4,148,53,70,1,1,2,72,35,1,36,0
Jared,Cowen,OTT,OTT,,D,54,3,6,2,9,-11,47,19,38,0,0,0,159,76,,76,1
Charlie,Coyle,MIN,MIN,,C,82,11,24,13,35,13,120,51,43,0,0,0,137,52,1,53,4
Adam,Cracknell,CBJ,CBJ,,RW,17,0,1,1,1,-8,17,9,3,0,0,0,43,6,,6,0
Ryan,Craig,CBJ,CBJ,,C,2,0,0,0,0,0,2,1,0,0,0,0,2,0,,0,0
B.J.,Crombeen,ARI,ARI,,RW,58,3,3,1,6,-6,43,16,24,0,0,0,68,12,,12,0
Sidney,Crosby,PIT,PIT,,C,77,28,56,31,84,5,237,78,65,0,0,0,66,29,5,34,3
Matt,Cullen,NSH,NSH,,C,62,7,18,7,25,8,90,40,32,0,0,0,10,18,1,19,1
Kyle,Cumiskey,CHI,CHI,,D,7,0,0,0,0,-1,5,4,3,0,0,0,3,11,,11,0
Craig,Cunningham,ARI,"BOS, ARI",32,LW/RW,51,3,4,3,7,-7,54,12,10,1,0,1,107,31,,31,0
Jerry,D'Amigo,BUF,BUF,,RW,9,0,0,0,0,-4,7,1,1,0,0,0,8,7,,7,0
Klas,Dahlbeck,ARI,"CHI, ARI",4,D,23,1,3,2,4,-8,20,19,15,0,0,0,64,46,,46,0
Trevor,Daley,DAL,DAL,,D,68,16,22,14,38,-13,113,61,70,2,0,2,29,123,0,123,2
Zac,Dalpe,BUF,BUF,,C,21,1,2,0,3,-11,29,6,8,0,0,0,15,8,,8,0
Phillip,Danault,CHI,CHI,,C/LW,2,0,0,0,0,0,2,1,1,0,0,0,3,0,,0,0
Marko,Dano,CBJ,CBJ,,C,35,8,13,8,21,12,84,20,25,0,0,0,94,12,,12,1
Pavel,Datsyuk,DET,DET,,C,63,26,39,24,65,12,165,58,68,0,0,0,51,28,3,31,5
Brandon,Davidson,EDM,EDM,,D,12,1,0,0,1,-5,7,7,6,0,0,0,18,22,,22,0
Calvin,de Haan,NYI,NYI,,D,65,1,11,5,12,3,92,43,74,1,0,1,140,130,,130,0
Jacob,De La Rose,MTL,MTL,,LW,33,4,2,1,6,-5,38,10,19,1,0,1,71,24,,24,0
Brandon,Defazio,VAN,VAN,,LW,2,0,0,0,0,0,2,1,1,0,0,0,0,0,,0,0
Danny,DeKeyser,DET,DET,,D,80,2,29,10,31,11,89,56,72,0,0,0,74,88,,88,1
Michael,Del Zotto,PHI,PHI,,D,64,10,22,11,32,-5,119,41,64,1,0,1,153,128,,128,4
Jason,Demers,DAL,"SJS, DAL",20,D,81,5,20,8,25,-3,99,65,87,0,0,0,118,85,,85,2
David,Desharnais,MTL,MTL,,C,82,14,34,16,48,22,90,31,51,0,0,0,43,49,4,53,4
Andrew,Desjardins,CHI,"SJS, CHI",56,C,69,5,5,0,10,-1,59,12,30,0,0,0,128,35,,35,1
Nicolas,Deslauriers,BUF,BUF,,LW,82,5,10,6,15,-24,76,34,33,0,1,1,261,36,,36,1
Simon,Despres,ANA,"PIT, ANA",59,D,75,3,20,10,23,11,103,41,71,0,0,0,233,101,0,101,1
Raphael,Diaz,CGY,CGY,,D,56,2,2,1,4,-3,52,34,46,0,0,0,24,67,,67,1
Brenden,Dillon,SJS,"DAL, SJS",20,D,80,2,8,3,10,-13,91,63,112,1,1,2,154,139,,139,1
Shane,Doan,ARI,ARI,,RW,79,14,22,16,36,-29,189,67,59,0,0,0,189,26,1,27,0
Matt,Donovan,NYI,NYI,,D,12,0,3,3,3,4,12,11,15,0,0,0,22,16,,16,0
Derek,Dorsett,VAN,VAN,,RW,79,7,18,10,25,4,89,48,29,2,0,2,166,37,,37,3
Drew,Doughty,LAK,LAK,,D,82,7,39,21,46,3,219,104,165,0,1,1,152,144,0,144,2
Steve,Downie,PIT,PIT,,RW,72,14,14,8,28,2,104,18,36,0,0,0,108,34,0,34,2
Leon,Draisaitl,EDM,EDM,,C,37,2,7,6,9,-17,49,18,10,0,0,0,21,8,,8,1
Jonathan,Drouin,TBL,TBL,,LW,70,4,28,16,32,3,76,32,46,0,0,0,55,16,0,16,0
Brandon,Dubinsky,CBJ,CBJ,,C,47,13,23,11,36,11,100,28,41,1,0,1,152,11,0,11,1
Matt,Duchene,COL,COL,,C,82,21,34,19,55,3,207,75,62,0,0,0,43,74,6,80,4
Anthony,Duclair,NYR,NYR,,LW,18,1,6,4,7,4,18,8,10,0,0,0,6,5,,5,0
Matt,Dumba,MIN,MIN,,D,58,8,8,3,16,13,86,39,63,0,0,0,42,51,,51,2
Gabriel,Dumont,MTL,MTL,,C,3,0,0,0,0,-1,4,0,1,0,0,0,8,2,,2,0
Brian,Dumoulin,PIT,PIT,,D,8,1,0,0,1,0,4,0,1,0,0,0,11,9,,9,0
Pascal,Dupuis,PIT,PIT,,RW/LW,16,6,5,3,11,2,44,10,11,0,1,1,20,8,,8,1
Patrick,Dwyer,CAR,CAR,,RW,71,5,7,4,12,-12,77,28,33,0,1,1,145,38,,38,0
Cody,Eakin,DAL,DAL,,C,78,19,21,6,40,-1,142,63,62,2,1,3,62,59,,59,6
Patrick,Eaves,DAL,DAL,,RW,47,14,13,6,27,12,91,51,40,0,0,0,69,27,0,27,2
Andrew,Ebbett,PIT,PIT,,C,24,1,5,3,6,1,21,5,11,0,0,0,10,12,,12,0
Jordan,Eberle,EDM,EDM,,RW/C,81,24,39,25,63,-16,183,52,67,0,0,0,62,36,2,38,2
Alexander,Edler,VAN,VAN,,D,74,8,23,8,31,13,175,64,125,0,0,0,94,126,,126,2
Christian,Ehrhoff,PIT,PIT,,D,49,3,11,6,14,8,110,57,59,0,0,0,73,49,,49,3
Aaron,Ekblad,FLA,FLA,,D,81,12,27,10,39,12,170,68,113,0,0,0,109,80,0,80,4
Mattias,Ekholm,NSH,NSH,,D,80,7,11,3,18,12,86,25,87,0,0,0,57,102,,102,1
Oliver,Ekman-Larsson,ARI,ARI,,D,82,23,20,13,43,-18,264,127,180,1,0,1,167,77,0,77,7
Patrik,Elias,NJD,NJD,,C/LW,69,13,21,12,34,-20,114,47,36,0,2,2,23,25,3,28,1
Lars,Eller,MTL,MTL,,C,77,15,12,8,27,-6,150,47,45,0,2,2,76,37,0,37,7
Keaton,Ellerby,WPG,WPG,,D,1,0,1,0,1,-1,0,0,1,0,0,0,1,1,,1,0
Stefan,Elliott,COL,COL,,D,5,0,0,0,0,-2,10,3,6,0,0,0,2,5,,5,0
Matt,Ellis,BUF,BUF,,LW,39,1,1,1,2,-12,29,6,5,0,0,0,10,16,,16,1
Ryan,Ellis,NSH,NSH,,D,58,9,18,11,27,8,118,40,54,0,0,0,41,74,1,75,0
Alexei,Emelin,MTL,MTL,,D,68,3,11,3,14,5,43,27,50,0,0,0,204,116,,116,0
Deryk,Engelland,CGY,CGY,,D,76,2,9,3,11,-16,51,25,41,0,1,1,132,141,,141,0
Tyler,Ennis,BUF,BUF,,C,78,20,26,21,46,-19,185,46,67,1,0,1,87,35,5,40,2
Toby,Enstrom,WPG,WPG,,D,60,4,19,11,23,13,58,31,43,0,0,0,27,93,,93,0
Martin,Erat,ARI,ARI,,RW,79,9,23,14,32,-16,91,37,51,0,0,0,96,25,0,25,1
Jonathan,Ericsson,DET,DET,,D,82,3,12,8,15,-5,82,39,58,0,1,1,114,55,,55,0
Loui,Eriksson,BOS,BOS,,RW/LW,81,22,25,16,47,1,169,62,34,0,1,1,29,23,0,23,4
Tim,Erixon,TOR,"CBJ, CHI, TOR",19,D,42,2,5,1,7,-7,36,16,37,0,0,0,34,32,,32,0
Emerson,Etem,ANA,ANA,,LW/RW,45,5,5,3,10,-6,77,25,33,0,0,0,63,20,,20,0
Dennis,Everberg,COL,COL,,RW,55,3,9,4,12,-7,62,25,22,0,0,0,73,41,,41,0
Justin,Falk,CBJ,"MIN, CBJ",13,D,18,1,1,0,2,-9,18,5,9,0,0,0,12,19,,19,0
Bobby,Farnham,PIT,PIT,,RW,11,0,0,0,0,0,6,4,4,0,0,0,26,2,,2,0
Jesper,Fast,NYR,NYR,,RW,58,6,8,4,14,-1,52,19,18,0,0,0,102,28,,28,0
Justin,Faulk,CAR,CAR,,D,82,15,34,17,49,-19,238,87,138,2,0,2,157,114,,114,4
Mark,Fayne,EDM,EDM,,D,74,2,6,1,8,-21,78,29,78,0,2,2,81,125,,125,0
Taylor,Fedun,SJS,SJS,,D,7,0,4,1,4,0,12,5,9,0,0,0,0,8,,8,0
Eric,Fehr,WSH,WSH,,C/RW,75,19,14,9,33,8,142,48,55,1,0,1,84,47,1,48,4
Andrew,Ference,EDM,EDM,,D,70,3,11,0,14,-17,58,47,60,0,1,1,156,86,,86,0
Michael,Ferland,CGY,CGY,,LW,26,2,3,3,5,1,34,15,13,0,0,0,67,10,,10,1
Brian,Ferlin,BOS,BOS,,RW,7,0,1,1,1,0,6,3,6,0,0,0,20,0,,0,0
Landon,Ferraro,DET,DET,,C,3,1,0,0,1,1,4,0,2,0,0,0,3,3,,3,1
Kevin,Fiala,NSH,NSH,,LW,1,0,0,0,0,-1,3,0,0,0,0,0,0,1,,1,0
Vernon,Fiddler,DAL,DAL,,C/LW,80,13,16,12,29,-5,132,50,45,1,1,2,43,61,1,62,2
Valtteri,Filppula,TBL,TBL,,C,82,12,36,18,48,-14,91,29,40,0,0,0,25,29,0,29,0
Mike,Fisher,NSH,NSH,,C,59,19,20,15,39,4,111,43,37,1,0,1,125,60,,60,1
Mark,Fistric,ANA,ANA,,D,9,0,0,0,0,-3,1,6,3,0,0,0,28,21,,21,0
Tomas,Fleischmann,ANA,"FLA, ANA",52,LW,66,8,19,16,27,12,131,46,56,0,0,0,64,15,0,15,1
